St;PROVPUNKT_Original;St_Original;Datum;Temperatur;Siktdjup_m;Klorofyll_µg_l;pH;Alkalinitet_mekv_l;Syrgashalt_mg_l;Syrem;Nitrigen;fosfor;Övervakningsstation;Stationskoordina_N_X;Stationskoordina_E_Y;Year;year_month
430;Växjösjön ut;430;2000-01-12;1.2;;;7.3;0.48;13.2;93;810;20;Växjösjön utlopp;56.864825;14.802238;2000;Jan-00
430;;430;2000-03-14;2.3;;;7.6;0.5;12.5;91;950;28;Växjösjön utlopp;56.864825;14.802238;2000;Mar-00
430;;430;2000-05-10;20;;;7.6;0.54;9.6;110;760;43;Växjösjön utlopp;56.864825;14.802238;2000;May-00
430;;430;2000-07-12;17.7;;;7.2;0.58;7.1;75;710;35;Växjösjön utlopp;56.864825;14.802238;2000;Jul-00
430;;430;2000-08-09;20.3;;;7.6;0.59;9;100;700;26;Växjösjön utlopp;56.864825;14.802238;2000;Aug-00
430;;430;2000-10-11;12.4;;;7.4;0.59;6.6;62;840;84;Växjösjön utlopp;56.864825;14.802238;2000;Oct-00
469;Växjösjön mitt;469;2000-05-25;16.1;2.5;15;;;;;;;Växjösjön mitt;56.867805;14.81321;2000;May-00
469;;469;2000-06-20;21.8;2;16;;;;;;;Växjösjön mitt;56.867805;14.81321;2000;Jun-00
469;;469;2000-07-14;16.9;1.3;26;;;;;;;Växjösjön mitt;56.867805;14.81321;2000;Jul-00
469;;469;2000-08-29;17.5;0.8;;;;;;;;Växjösjön mitt;56.867805;14.81321;2000;Aug-00
469;;469;2000-10-03;13.1;1.65;16;;;;;;;Växjösjön mitt;56.867805;14.81321;2000;Oct-00
469;;469;2000-10-26;10.8;1.35;6.4;;;;;;;Växjösjön mitt;56.867805;14.81321;2000;Oct-00
430;Växjösjön ut;430;2001-01-23;1.1;;;7.3;0.48;11.1;78;1100;24;Växjösjön utlopp;56.864825;14.802238;2001;Jan-01
430;;430;2001-03-06;2.4;;;7.2;0.5;10.5;77;1300;32;Växjösjön utlopp;56.864825;14.802238;2001;Mar-01
430;;430;2001-05-22;16.6;;;7.7;0.52;10.5;110;840;34;Växjösjön utlopp;56.864825;14.802238;2001;May-01
430;;430;2001-07-12;20.6;;;7.4;0.63;4.7;52;880;41;Växjösjön utlopp;56.864825;14.802238;2001;Jul-01
430;;430;2001-08-07;19.1;;;7.5;0.63;7.2;78;790;56;Växjösjön utlopp;56.864825;14.802238;2001;Aug-01
430;;430;2001-10-08;12.4;;;7.4;0.6;8.1;76;770;51;Växjösjön utlopp;56.864825;14.802238;2001;Oct-01
469;Växjösjön mitt;469;2001-05-28;15.5;1.5;13;7.7;0.54;9.8;100;850;44;Växjösjön mitt;56.867805;14.81321;2001;May-01
